sample,label,pred,correct,input_ev,hid_spk,t_ms,L1_ev,L2_ev,L3_ev,L4_ev
0,0,0,1,1020,32,397.69,1020,32,63,138
1,0,0,1,1068,66,4.82,1068,66,95,167
2,0,0,1,924,52,8.49,924,52,77,168
3,0,0,1,1241,35,5.17,1241,35,68,140
4,0,0,1,977,46,6.06,977,46,67,129
5,0,0,1,835,43,4.72,835,43,59,132
6,0,0,1,1193,57,6.86,1193,57,79,165
7,0,0,1,1215,57,6.55,1215,57,76,167
8,0,0,1,1048,63,6.19,1048,63,96,202
9,0,0,1,1056,55,6.27,1056,55,64,138
10,0,0,1,823,49,4.06,823,49,59,116
11,0,0,1,854,42,4.25,854,42,57,120
12,0,0,1,774,34,3.51,774,34,67,136
13,0,0,1,1267,59,4.88,1267,59,91,186
14,0,0,1,1198,67,4.83,1198,67,83,154
15,0,0,1,1184,38,5.39,1184,38,49,120
16,0,0,1,1012,55,4.12,1012,55,70,138
17,0,0,1,912,28,7.73,912,28,50,94
18,0,0,1,1254,60,7.43,1254,60,99,183
19,0,0,1,1053,45,5.72,1053,45,88,179
20,0,0,1,988,38,5.4,988,38,85,183
21,0,0,1,901,52,4.61,901,52,66,132
22,0,0,1,1346,68,6.11,1346,68,101,186
23,0,0,1,1096,54,5.29,1096,54,68,134
24,0,0,1,1220,63,4.84,1220,63,76,158
25,0,0,1,1106,45,5.71,1106,45,73,151
26,0,0,1,1008,30,5.45,1008,30,66,144
27,0,0,1,610,22,3.01,610,22,46,64
28,0,0,1,1111,42,4.3,1111,42,72,154
29,0,0,1,855,34,4.04,855,34,57,135
30,0,0,1,810,37,3.96,810,37,54,131
31,0,0,1,911,48,3.31,911,48,49,94
32,0,0,1,996,66,4.54,996,66,81,157
33,0,0,1,1113,60,4.37,1113,60,97,200
34,0,0,1,1026,59,4.03,1026,59,89,182
35,0,0,1,1262,56,5.92,1262,56,95,188
36,0,0,1,868,35,3.62,868,35,60,108
37,0,0,1,485,27,3.38,485,27,40,103
38,0,0,1,947,45,5.55,947,45,59,121
39,0,0,1,894,35,3.53,894,35,63,147
40,0,0,1,913,45,5.03,913,45,59,126
41,0,6,0,839,23,3.94,839,23,23,47
42,0,0,1,1037,65,4.84,1037,65,87,168
43,0,0,1,929,33,4.17,929,33,42,103
44,0,0,1,1006,60,3.88,1006,60,95,180
45,0,0,1,906,22,3.55,906,22,45,103
46,0,0,1,1043,44,4.64,1043,44,78,172
47,0,0,1,764,42,3.48,764,42,64,129
48,0,0,1,646,51,3.43,646,51,65,141
49,0,0,1,1106,60,5.63,1106,60,88,171
50,0,0,1,886,54,4.56,886,54,64,137
51,0,0,1,1100,56,5.34,1100,56,77,167
52,0,0,1,1108,36,5.8,1108,36,59,134
53,0,0,1,1063,70,4.19,1063,70,88,177
54,0,0,1,1080,43,4.6,1080,43,73,144
55,0,0,1,1010,50,5.14,1010,50,71,144
56,0,0,1,1131,31,4.53,1131,31,62,141
57,0,0,1,939,40,4.09,939,40,79,158
58,0,0,1,1204,64,4.14,1204,64,89,172
59,0,0,1,713,23,3.55,713,23,38,84
60,0,0,1,1355,54,5.74,1355,54,64,118
61,0,0,1,1141,38,4.11,1141,38,54,114
62,0,0,1,879,63,3.91,879,63,74,133
63,0,6,0,1078,45,4.07,1078,45,66,115
64,0,0,1,1039,62,4.09,1039,62,88,170
65,0,0,1,756,41,3.6,756,41,85,161
66,0,0,1,1341,60,4.51,1341,60,93,171
67,0,0,1,930,51,3.78,930,51,77,145
68,0,0,1,1198,66,4.44,1198,66,86,172
69,0,0,1,1062,45,4.92,1062,45,71,141
70,0,0,1,1179,45,4.53,1179,45,58,130
71,0,0,1,970,61,5.16,970,61,93,183
72,0,0,1,1276,50,4.26,1276,50,63,125
73,0,0,1,976,45,3.92,976,45,63,146
74,0,0,1,926,50,3.77,926,50,79,162
75,0,0,1,1294,63,4.64,1294,63,103,185
76,0,0,1,816,45,3.69,816,45,74,145
77,0,0,1,958,31,4.72,958,31,29,97
78,0,0,1,1144,36,5.65,1144,36,56,108
79,0,0,1,1118,50,5.67,1118,50,76,151
80,0,0,1,1020,55,5.4,1020,55,76,155
81,0,0,1,1336,63,4.7,1336,63,104,207
82,0,0,1,1068,51,5.05,1068,51,79,156
83,0,0,1,988,41,3.91,988,41,71,144
84,0,0,1,1365,59,6.07,1365,59,74,132
85,0,0,1,870,33,4.02,870,33,70,145
86,0,0,1,1012,58,4.89,1012,58,95,177
87,0,0,1,1044,31,5.58,1044,31,61,136
88,0,0,1,1224,52,4.14,1224,52,67,144
89,0,0,1,1301,55,4.3,1301,55,70,150
90,0,0,1,1279,67,4.89,1279,67,91,187
91,0,0,1,947,34,3.62,947,34,68,124
92,0,6,0,892,36,4.52,892,36,62,108
93,0,0,1,1045,50,5.09,1045,50,70,164
94,0,0,1,981,32,3.86,981,32,49,108
95,0,0,1,995,42,5.22,995,42,53,123
96,0,0,1,939,40,3.98,939,40,73,164
97,0,6,0,1067,38,4.06,1067,38,70,131
98,0,0,1,1050,41,5.16,1050,41,64,153
99,0,6,0,849,20,3.35,849,20,29,69
100,0,0,1,1247,65,5.9,1247,65,100,186
101,0,0,1,1047,66,4.27,1047,66,93,192
102,0,0,1,926,52,3.69,926,52,79,165
103,0,0,1,1252,42,6.11,1252,42,72,146
104,0,0,1,1052,41,4.29,1052,41,50,109
105,0,0,1,904,46,3.74,904,46,55,122
106,0,0,1,1044,50,4.35,1044,50,82,163
107,0,0,1,1133,66,4.75,1133,66,94,187
108,0,0,1,904,26,4.8,904,26,60,139
109,0,0,1,1016,20,3.97,1016,20,39,90
110,0,0,1,959,43,4.07,959,43,72,137
111,0,0,1,1039,63,3.76,1039,63,89,163
112,0,0,1,1113,49,5.72,1113,49,89,170
113,0,0,1,1363,60,5.36,1363,60,91,181
114,0,0,1,1262,54,4.64,1262,54,85,167
115,0,0,1,985,44,3.99,985,44,67,146
116,0,8,0,879,20,4.1,879,20,30,90
117,0,0,1,1277,30,4.74,1277,30,58,121
118,0,0,1,969,36,4.24,969,36,57,127
119,0,0,1,947,42,3.89,947,42,59,119
120,0,0,1,1007,34,4.9,1007,34,50,108
121,0,0,1,1039,54,4.7,1039,54,72,158
122,0,0,1,1000,26,5.21,1000,26,31,75
123,0,0,1,1364,56,4.49,1364,56,96,185
124,0,0,1,926,45,7.29,926,45,59,136
125,0,0,1,1139,64,4.47,1139,64,91,182
126,0,0,1,877,50,4.22,877,50,78,156
127,0,0,1,1079,53,3.53,1079,53,88,191
128,0,0,1,1364,56,4.24,1364,56,79,170
129,0,0,1,1103,37,4.21,1103,37,65,126
130,0,0,1,958,24,4.02,958,24,43,114
131,0,0,1,932,50,5.0,932,50,73,141
132,0,0,1,952,28,3.73,952,28,54,109
