MNIST CSV files already exist
Loading cached MNIST dataset
FPTT training  dataset=smnist  model=rule
  seed=42  hidden=[128]  n_input_neurons=1
  x_train=(48004, 784, 2)  epochs=50
  batch=128  lr=0.001  alpha=0.1  beta=0.5
  lmbda=2.0  rho=0.0  parts=10  clip=1.0
  sync_rate=1  firing_nb=10000  use_tanh=True
  no_reset=False  identity_hh=False  vanilla=False
  train_samples=0  optim=adam
  nlayers=1  dropout=0.0
Model: rule  params=17,920  device=cuda
epoch=1  loss=3.033718  train_acc=0.1880  test_acc=0.1497  time=62.4s
epoch=2  loss=2.522971  train_acc=0.1510  test_acc=0.1088  time=62.7s
epoch=3  loss=2.451518  train_acc=0.1360  test_acc=0.0992  time=62.3s
epoch=4  loss=2.391946  train_acc=0.0800  test_acc=0.0981  time=62.2s
epoch=5  loss=2.346787  train_acc=0.1910  test_acc=0.1927  time=62.0s
epoch=6  loss=2.318254  train_acc=0.1980  test_acc=0.2291  time=61.9s
epoch=7  loss=2.303422  train_acc=0.1440  test_acc=0.1017  time=62.7s
epoch=8  loss=2.281525  train_acc=0.1530  test_acc=0.1395  time=62.2s
epoch=9  loss=2.274030  train_acc=0.1620  test_acc=0.1437  time=62.5s
epoch=10  loss=2.315896  train_acc=0.1530  test_acc=0.1173  time=62.2s
epoch=11  loss=2.431766  train_acc=0.0830  test_acc=0.1008  time=58.1s
epoch=12  loss=2.316554  train_acc=0.1470  test_acc=0.1883  time=54.0s
epoch=13  loss=2.294677  train_acc=0.1430  test_acc=0.1634  time=54.0s
epoch=14  loss=2.326443  train_acc=0.1180  test_acc=0.0892  time=54.0s
epoch=15  loss=2.310217  train_acc=0.3020  test_acc=0.2677  time=54.1s
epoch=16  loss=2.325801  train_acc=0.2110  test_acc=0.1702  time=53.9s
epoch=17  loss=2.299379  train_acc=0.0620  test_acc=0.1028  time=54.4s
epoch=18  loss=2.281131  train_acc=0.1390  test_acc=0.1042  time=54.2s
epoch=19  loss=2.272014  train_acc=0.1060  test_acc=0.0982  time=54.3s
epoch=20  loss=2.296578  train_acc=0.0790  test_acc=0.1009  time=53.8s
epoch=21  loss=2.305327  train_acc=0.2150  test_acc=0.2049  time=54.3s
epoch=22  loss=2.268516  train_acc=0.0990  test_acc=0.1032  time=54.1s
epoch=23  loss=2.311586  train_acc=0.1350  test_acc=0.0974  time=54.2s
epoch=24  loss=2.340536  train_acc=0.1560  test_acc=0.1976  time=54.4s
epoch=25  loss=2.312903  train_acc=0.1630  test_acc=0.1269  time=54.3s
epoch=26  loss=2.290690  train_acc=0.1530  test_acc=0.1998  time=54.2s
epoch=27  loss=2.303327  train_acc=0.2900  test_acc=0.2837  time=54.8s
epoch=28  loss=2.300385  train_acc=0.2110  test_acc=0.2595  time=54.6s
epoch=29  loss=2.490833  train_acc=0.0990  test_acc=0.1032  time=54.6s
epoch=30  loss=2.335619  train_acc=0.0950  test_acc=0.1238  time=54.0s
epoch=31  loss=2.309774  train_acc=0.0990  test_acc=0.1032  time=53.8s
epoch=32  loss=2.364007  train_acc=0.0660  test_acc=0.1061  time=54.2s
epoch=33  loss=2.379090  train_acc=0.1140  test_acc=0.1104  time=54.2s
epoch=34  loss=2.318649  train_acc=0.1350  test_acc=0.0974  time=54.4s
epoch=35  loss=2.298547  train_acc=0.1520  test_acc=0.1970  time=61.4s
epoch=36  loss=2.313481  train_acc=0.1610  test_acc=0.1288  time=55.9s
epoch=37  loss=2.308538  train_acc=0.1560  test_acc=0.1466  time=54.3s
epoch=38  loss=2.322410  train_acc=0.0620  test_acc=0.1030  time=54.3s
epoch=39  loss=2.385995  train_acc=0.0830  test_acc=0.1135  time=54.3s
epoch=40  loss=2.360630  train_acc=0.1440  test_acc=0.1011  time=54.0s
epoch=41  loss=2.358460  train_acc=0.1450  test_acc=0.1824  time=53.9s
epoch=42  loss=2.370316  train_acc=0.0810  test_acc=0.1038  time=53.7s
epoch=43  loss=2.306249  train_acc=0.1350  test_acc=0.0974  time=54.0s
epoch=44  loss=2.322428  train_acc=0.1670  test_acc=0.1657  time=54.1s
epoch=45  loss=2.317852  train_acc=0.0790  test_acc=0.1011  time=54.0s
epoch=46  loss=2.287342  train_acc=0.0620  test_acc=0.1028  time=54.6s
epoch=47  loss=2.308815  train_acc=0.1750  test_acc=0.2097  time=54.4s
epoch=48  loss=2.307803  train_acc=0.0620  test_acc=0.1028  time=54.4s
epoch=49  loss=2.380661  train_acc=0.1060  test_acc=0.0982  time=54.5s
epoch=50  loss=2.340756  train_acc=0.0950  test_acc=0.0958  time=54.3s
