MNIST CSV files already exist
Loading cached MNIST dataset
FPTT training  dataset=smnist  model=lstm
  seed=42  hidden=[128]  n_input_neurons=1
  x_train=(48004, 784, 2)  epochs=50
  batch=128  lr=0.001  alpha=0.1  beta=0.5
  lmbda=2.0  rho=0.0  parts=10  clip=1.0
  sync_rate=1  firing_nb=10000  use_tanh=False
  no_reset=False  identity_hh=False  vanilla=False
  train_samples=0  optim=adam
  nlayers=1  dropout=0.0
Model: lstm  params=68,362  device=cuda
epoch=1  loss=2.255891  train_acc=0.2010  test_acc=0.2091  time=9.9s
epoch=2  loss=1.967006  train_acc=0.7000  test_acc=0.7007  time=10.3s
epoch=3  loss=1.730656  train_acc=0.8810  test_acc=0.8696  time=12.4s
epoch=4  loss=1.682180  train_acc=0.5050  test_acc=0.4764  time=12.5s
epoch=5  loss=1.607415  train_acc=0.5950  test_acc=0.5615  time=13.2s
epoch=6  loss=1.590164  train_acc=0.5130  test_acc=0.5059  time=13.1s
epoch=7  loss=1.589581  train_acc=0.8500  test_acc=0.8258  time=13.4s
epoch=8  loss=1.583152  train_acc=0.7670  test_acc=0.7644  time=13.5s
epoch=9  loss=1.580698  train_acc=0.5240  test_acc=0.5101  time=13.9s
epoch=10  loss=1.576880  train_acc=0.6770  test_acc=0.7119  time=13.8s
epoch=11  loss=1.596962  train_acc=0.9100  test_acc=0.9007  time=13.6s
epoch=12  loss=1.573244  train_acc=0.9050  test_acc=0.9119  time=14.0s
epoch=13  loss=1.557553  train_acc=0.8960  test_acc=0.8942  time=14.0s
epoch=14  loss=1.585926  train_acc=0.8490  test_acc=0.8697  time=13.9s
epoch=15  loss=1.572154  train_acc=0.4580  test_acc=0.4527  time=14.0s
epoch=16  loss=1.574547  train_acc=0.5590  test_acc=0.5464  time=14.0s
epoch=17  loss=1.581059  train_acc=0.8310  test_acc=0.8317  time=14.2s
epoch=18  loss=1.575912  train_acc=0.5240  test_acc=0.4945  time=13.9s
epoch=19  loss=1.578910  train_acc=0.9170  test_acc=0.9095  time=13.7s
epoch=20  loss=1.567740  train_acc=0.8720  test_acc=0.8588  time=14.0s
epoch=21  loss=1.498742  train_acc=0.7910  test_acc=0.7729  time=14.3s
epoch=22  loss=1.538674  train_acc=0.7830  test_acc=0.7896  time=13.5s
epoch=23  loss=1.484212  train_acc=0.9310  test_acc=0.9331  time=14.1s
epoch=24  loss=1.471093  train_acc=0.7330  test_acc=0.7291  time=14.0s
epoch=25  loss=1.561919  train_acc=0.9280  test_acc=0.9084  time=13.9s
epoch=26  loss=1.472407  train_acc=0.9060  test_acc=0.8897  time=14.1s
epoch=27  loss=1.471930  train_acc=0.8500  test_acc=0.8479  time=14.0s
epoch=28  loss=1.472336  train_acc=0.8950  test_acc=0.8838  time=14.4s
epoch=29  loss=1.483081  train_acc=0.9200  test_acc=0.9160  time=14.0s
epoch=30  loss=1.472936  train_acc=0.9240  test_acc=0.9285  time=14.2s
epoch=31  loss=1.484952  train_acc=0.8350  test_acc=0.8180  time=14.1s
epoch=32  loss=1.471489  train_acc=0.9200  test_acc=0.9243  time=14.3s
epoch=33  loss=1.469735  train_acc=0.9220  test_acc=0.9175  time=14.2s
epoch=34  loss=1.473695  train_acc=0.9160  test_acc=0.9030  time=13.7s
epoch=35  loss=1.480070  train_acc=0.9310  test_acc=0.9255  time=14.9s
epoch=36  loss=1.475195  train_acc=0.9180  test_acc=0.9171  time=14.7s
epoch=37  loss=1.472878  train_acc=0.5930  test_acc=0.5914  time=14.0s
epoch=38  loss=1.479005  train_acc=0.6830  test_acc=0.7033  time=13.8s
epoch=39  loss=1.468252  train_acc=0.9160  test_acc=0.9004  time=14.2s
epoch=40  loss=1.513485  train_acc=0.9370  test_acc=0.9429  time=13.7s
epoch=41  loss=1.464053  train_acc=0.8870  test_acc=0.9054  time=23.6s
epoch=42  loss=1.481364  train_acc=0.8080  test_acc=0.8054  time=70.4s
epoch=43  loss=1.477589  train_acc=0.8730  test_acc=0.8878  time=70.5s
epoch=44  loss=1.474764  train_acc=0.9210  test_acc=0.9207  time=71.3s
epoch=45  loss=1.488373  train_acc=0.9080  test_acc=0.9061  time=70.8s
epoch=46  loss=1.461832  train_acc=0.6310  test_acc=0.6002  time=71.9s
epoch=47  loss=1.472422  train_acc=0.9550  test_acc=0.9572  time=71.5s
epoch=48  loss=1.465553  train_acc=0.8690  test_acc=0.8835  time=72.4s
epoch=49  loss=1.541160  train_acc=0.3040  test_acc=0.3212  time=69.8s
epoch=50  loss=1.492166  train_acc=0.8400  test_acc=0.8384  time=71.9s
